CPU %,Mem %
36.2,0.13182481027545634
51.8,0.13383368524155656
75.2,0.1350390102212167
60.7,0.1350390102212167
53.8,0.1350390102212167
51.2,0.1350390102212167
39.6,0.1350390102212167
32.1,0.1350390102212167
65.9,0.12955417281377335
66.2,0.12955417281377335
73.8,0.13116127278665352
61.7,0.13116127278665352
65.8,0.12750877284828946
58.0,0.1295176478143897
24.3,0.1295176478143897
52.5,0.1295176478143897
31.9,0.13192829777370998
71.0,0.13237268526621093
60.1,0.1296759228117188
71.0,0.1296759228117188
52.1,0.1296759228117188
32.3,0.13208657277103908
49.1,0.12647389786575297
41.1,0.1308934227911735
40.9,0.1308934227911735
39.1,0.13129519778439352
58.2,0.13571472270981405
52.6,0.13571472270981405
55.3,0.13571472270981405
66.8,0.13571472270981405
61.7,0.13571472270981405
56.1,0.13571472270981405
71.0,0.13571472270981405
70.5,0.13571472270981405
69.6,0.13092386029065986
47.8,0.13212918527032
48.8,0.1308264602923035
39.2,0.13243356026518366
56.4,0.13404066023806385
46.0,0.12644954786616389
44.7,0.13127084778480444
47.5,0.13167262277802447
58.0,0.13167262277802447
74.3,0.13167262277802447
52.2,0.13167262277802447
49.6,0.13017509780329523
47.3,0.13097864778973534
56.7,0.13015683530360342
37.7,0.13015683530360342
49.4,0.1309603852900435
30.4,0.1301811853031925
38.6,0.1317882852760727
39.4,0.1326527102614855
55.1,0.13305448525470556
73.2,0.13305448525470556
63.1,0.13065601029517984
31.0,0.13467376022738028
49.3,0.13467376022738028
60.1,0.13467376022738028
56.2,0.13587908520704045
31.8,0.13748618517992062
61.5,0.13748618517992062
47.6,0.1327440227599446
60.5,0.13071688529415257
39.4,0.13232398526703276
61.8,0.13393108523991293
40.5,0.13513641021957307
70.6,0.13513641021957307
39.0,0.13513641021957307
40.5,0.13513641021957307
63.2,0.13513641021957307
68.7,0.13132563528387992
70.9,0.1305220852974398
68.7,0.1305220852974398
37.7,0.1337362852432002
48.9,0.13494161022286033
60.6,0.13494161022286033
66.2,0.1289636853237378
68.3,0.13338321024915833
55.1,0.1349903102220385
60.5,0.13539208521525856
72.1,0.13539208521525856
50.4,0.13367541024422747
56.3,0.13367541024422747
74.6,0.13220223526908728
69.9,0.13220223526908728
70.2,0.13340756024874742
70.1,0.1350146602216276
80.3,0.1350146602216276
51.9,0.1350146602216276
45.7,0.1350146602216276
77.8,0.1350146602216276
46.1,0.1350146602216276
68.2,0.13791839767262704
60.5,0.13952549764550723
38.2,0.13952549764550723
63.5,0.13952549764550723
51.7,0.13952549764550723
48.3,0.13952549764550723
66.9,0.13952549764550723
61.9,0.14073082262516737
39.1,0.14073082262516737
40.7,0.13546513521402584
51.5,0.13546513521402584
54.6,0.1374679226802288
60.7,0.13409544773713933
32.9,0.1357025477100195
55.1,0.13851497266255985
65.0,0.13891674765577988
54.7,0.13271358526045826
51.8,0.13271358526045826
59.5,0.13511814771988126
52.2,0.13188568527442907
53.2,0.13188568527442907
47.2,0.1346981102269694
71.9,0.1363052101998496
38.5,0.1363052101998496
41.3,0.13951941014560995
53.2,0.13296317275624647
49.7,0.1333649477494665
61.5,0.13457027272912667
24.6,0.1340284852382693
64.0,0.1356355852111495
52.8,0.13550166021340948
39.9,0.13550166021340948
32.2,0.13670698519306962
54.8,0.1383140851659498
51.1,0.1346981102269694
47.4,0.1346981102269694
79.6,0.1346981102269694
54.5,0.1346981102269694
47.3,0.1346981102269694
70.0,0.1346981102269694
70.7,0.1346981102269694
81.6,0.1346981102269694
54.4,0.1346981102269694
60.8,0.1346981102269694
52.2,0.1391176351523899
43.1,0.1407247351252701
41.1,0.1407247351252701
29.5,0.14353716007781042
61.3,0.14353716007781042
67.1,0.13819233516800433
82.3,0.13819233516800433
52.7,0.1317578477765863
51.0,0.13617128520210955
60.8,0.13617128520210955
41.3,0.13617128520210955
60.6,0.13617128520210955
54.8,0.13617128520210955
64.9,0.13617128520210955
53.0,0.13617128520210955
56.4,0.13617128520210955
61.1,0.13617128520210955
70.8,0.13617128520210955
63.6,0.13737661018176972
40.6,0.1389837101546499
59.1,0.1389837101546499
64.8,0.1389837101546499
49.4,0.1389837101546499
66.3,0.1389837101546499
65.8,0.1389837101546499
55.4,0.1389837101546499
73.0,0.14018903513431002
38.6,0.1413943601139702
53.3,0.1413943601139702
55.6,0.13732182268269424
60.2,0.14213703510143752
64.1,0.1437441350743177
39.9,0.1437441350743177
82.2,0.1437441350743177
55.1,0.1437441350743177
53.2,0.1437441350743177
59.7,0.1437441350743177
24.7,0.1437441350743177
72.6,0.13546513521402584
59.5,0.13546513521402584
65.8,0.13546513521402584
49.3,0.13546513521402584
83.2,0.13546513521402584
45.3,0.13546513521402584
78.5,0.13546513521402584
48.5,0.13546513521402584
39.4,0.13546513521402584
46.4,0.13546513521402584
47.3,0.13546513521402584
53.0,0.13546513521402584
47.7,0.13546513521402584
65.8,0.13546513521402584
49.1,0.13546513521402584
60.6,0.13546513521402584
46.7,0.13546513521402584
53.9,0.13546513521402584
52.7,0.13546513521402584
75.6,0.13546513521402584
73.3,0.13546513521402584
49.5,0.13546513521402584
66.9,0.13546513521402584
55.2,0.13546513521402584
77.4,0.13546513521402584
70.1,0.13546513521402584
65.5,0.13546513521402584
61.9,0.13546513521402584
56.5,0.13546513521402584
79.7,0.13546513521402584
32.0,0.13546513521402584
53.6,0.13546513521402584
82.5,0.13546513521402584
60.9,0.13546513521402584
51.4,0.13546513521402584
53.0,0.13546513521402584
61.6,0.13546513521402584
49.2,0.13546513521402584
38.0,0.13546513521402584
31.4,0.13546513521402584
77.2,0.13546513521402584
40.2,0.13546513521402584
82.4,0.13546513521402584
32.0,0.13546513521402584
46.6,0.13546513521402584
33.1,0.13546513521402584
31.7,0.13546513521402584
24.3,0.13546513521402584
78.6,0.13546513521402584
39.4,0.13546513521402584
53.6,0.13546513521402584
37.8,0.13546513521402584
36.9,0.13546513521402584
58.0,0.13786969767344884
70.7,0.13786969767344884
31.9,0.13786969767344884
46.0,0.13786969767344884
56.3,0.13786969767344884
58.0,0.13786969767344884
53.0,0.13786969767344884
54.8,0.13786969767344884
79.1,0.13786969767344884
40.5,0.13786969767344884
38.3,0.13786969767344884
52.8,0.13786969767344884
64.2,0.13786969767344884
60.3,0.13786969767344884
46.4,0.13786969767344884
49.7,0.13786969767344884
32.1,0.13786969767344884
61.4,0.13786969767344884
32.3,0.13786969767344884
61.0,0.13786969767344884
47.2,0.13786969767344884
45.8,0.13786969767344884
46.4,0.13786969767344884
39.7,0.13786969767344884
38.7,0.13786969767344884
40.5,0.13786969767344884
32.7,0.13786969767344884
40.4,0.13786969767344884
36.8,0.13786969767344884
46.0,0.13786969767344884
44.8,0.13947679764632903
52.8,0.14108389761920923
45.7,0.14108389761920923
55.5,0.13546513521402584
30.9,0.13546513521402584
47.5,0.13546513521402584
44.7,0.13546513521402584
48.0,0.13546513521402584
63.6,0.13546513521402584
45.4,0.13546513521402584
44.5,0.13546513521402584
44.7,0.13546513521402584
57.7,0.13546513521402584
45.1,0.13546513521402584
46.0,0.13546513521402584
24.7,0.13786969767344884
32.5,0.14108389761920923
44.4,0.14108389761920923
51.0,0.14108389761920923
31.7,0.14108389761920923
54.3,0.14108389761920923
